ticket_id,ticket_text,category,priority
INC-2026062,I want to enable two-factor authentication for my profile for security.,Account Access,Low
INC-2026063,"Hey, How do I upgrade my subscription plan to premium?
Thank you,
John",Account Access,Low
INC-2026064,"Hi, I found a bug: the submit button is greyed out even when forms are complete.",Technical Issue,Medium
INC-2026065,"Hey, How do I add a new team member to my organization profile?
Regards,
Amanda",Account Access,Low
INC-2026066,"I get a 404 page not found error when clicking on the dashboard link.
Sincerely,
John",Technical Issue,Medium
INC-2026067,"Hi, I received a payment failure notification but my credit card has sufficient funds.
Sincerely,
Amanda",Billing,Medium
INC-2026068,"I am seeing an unrecognized transaction of $18 on my card from your site.
Regards,
Megan",Billing,High
INC-2026069,"Good morning, I need to delete my account and remove my personal data under GDPR rules.
- Sarah",Account Access,Low
INC-2026070,"Hi support team, Can you reset my password? I forgot it and need access.
Thank you,
Amanda",Account Access,Low
INC-2026071,"I received a payment failure notification but my credit card has sufficient funds.
Regards,
James",Billing,Medium
INC-2026072,"Greetings, Do you offer discounts for non-profit organizations or educational schools?
Regards,
Amanda",General Query,Low
INC-2026073,"Dear Support, I was billed $123 during my free trial period. Please check and refund.
Thank you,
Daniel",Billing,High
INC-2026074,"Dear Support, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-53713
Best regards,
Emily",Billing,Medium
INC-2026075,"Unrecognized login detected on my account. I need to secure it.
Best regards,
Sarah",Account Access,High
INC-2026076,"Hi support team, I cannot log in to my account. It says password incorrect or user not found.
Best regards,
Ashley",Account Access,Medium
INC-2026077,"Greetings, I was billed $143 during my free trial period. Please check and refund.",Billing,High
INC-2026078,"Hi support team, My payment failed but money was deducted from my bank account.
Sincerely,
Ashley",Billing,High
INC-2026079,"I get a 404 page not found error when clicking on the dashboard link.
Sincerely,
Robert",Technical Issue,Medium
INC-2026080,"Do you offer discounts for non-profit organizations or educational schools?
Sincerely,
Amanda",General Query,Low
INC-2026081,"Hello team, What are the system requirements for running your software?
Regards,
Emily",General Query,Low
INC-2026082,"Hey, My billing account is locked and I cannot process the invoice payment.
Regards,
John",Billing,High
INC-2026083,"Hello team, Can I get a copy of my invoice for July 2025?",Billing,Low
INC-2026084,"Good morning, My API key has leaked and I need to regenerate it immediately.
Thank you,
James",Account Access,High
INC-2026085,"I want to request a demo of your enterprise plan for my team.
Thanks,
Daniel",General Query,Low
INC-2026086,"Can you update my billing address on the system? It should be 435 Main St, Cityville.
Best regards,
Ashley",Billing,Low
INC-2026087,"Hi support team, Can you reset my password? I forgot it and need access.
Regards,
Amanda",Account Access,Low
INC-2026088,"I cannot connect to the server. The connection keeps dropping.
Sincerely,
Robert",Technical Issue,High
INC-2026089,"Dear Support, How do I upgrade my subscription plan to premium?",Account Access,Low
INC-2026090,"Hello team, How do I upgrade my subscription plan to premium?
Sincerely,
Ashley",Account Access,Low
INC-2026091,"Hello, I need to delete my account and remove my personal data under GDPR rules.",Account Access,Low
INC-2026092,"Hi, Can you reset my password? I forgot it and need access.
Thank you,
Ashley",Account Access,Low
INC-2026093,"Hey, My billing account is locked and I cannot process the invoice payment.
Regards,
Ashley",Billing,High
INC-2026094,"Hi, My billing account is locked and I cannot process the invoice payment.
- Michael",Billing,High
INC-2026095,"Hi, The search bar returns incorrect results for simple queries.
Sincerely,
Daniel",Technical Issue,Low
INC-2026096,Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-33627,Billing,Medium
INC-2026097,"I am seeing an unrecognized transaction of $139 on my card from your site.
- Amanda",Billing,High
INC-2026098,"Hey, Our system integration with your webhook is failing with connection refused.
Thank you,
Megan",Technical Issue,High
INC-2026099,The search bar returns incorrect results for simple queries.,Technical Issue,Low
INC-2026100,"Can you tell me more about your security and data compliance policies?
Thank you,
Ashley",General Query,Low
INC-2026101,"Hello team, I cannot log in to my account. It says password incorrect or user not found.
Best regards,
David",Account Access,Medium
INC-2026102,I am seeing an unrecognized transaction of $188 on my card from your site.,Billing,High
INC-2026103,"Hello, Do you offer discounts for non-profit organizations or educational schools?
- Sarah",General Query,Low
INC-2026104,"Hi support team, Our system integration with your webhook is failing with connection refused.
- Emily",Technical Issue,High
INC-2026105,"Hi support team, Why was I charged $21 this month instead of the usual $91?
Sincerely,
Sarah",Billing,Medium
INC-2026106,I need to delete my account and remove my personal data under GDPR rules.,Account Access,Low
INC-2026107,"What are your business hours and customer support availability on weekends?
Regards,
Daniel",General Query,Low
INC-2026108,"Greetings, Unrecognized login detected on my account. I need to secure it.
- Robert",Account Access,High
INC-2026109,"Hey, Unrecognized login detected on my account. I need to secure it.
Sincerely,
Sarah",Account Access,High
INC-2026110,"Good morning, Where can I find your API documentation and developers SDK guides?
Sincerely,
James",General Query,Low
INC-2026111,The website crashes whenever I try to upload my profile photo or files.,Technical Issue,Medium
INC-2026112,"Hello, Can you tell me more about your security and data compliance policies?
Thank you,
Jessica",General Query,Low
INC-2026113,"I wanted to share some feedback: the new UI looks really clean!
Thank you,
Megan",General Query,Low
INC-2026114,"Hello team, Our system integration with your webhook is failing with connection refused.
Thanks,
Michael",Technical Issue,High
INC-2026115,"Hi support team, I cannot connect to the server. The connection keeps dropping.
Sincerely,
Ashley",Technical Issue,High
INC-2026116,"Hi, I wanted to share some feedback: the new UI looks really clean!
- Ashley",General Query,Low
INC-2026117,"Hey, I cannot connect to the server. The connection keeps dropping.
Regards,
Jessica",Technical Issue,High
INC-2026118,"Hello team, I am unable to receive password reset emails. The mail server seems down.
- Amanda",Technical Issue,High
INC-2026119,"Hey, My credit card was charged twice for the monthly subscription on 03-01-2026. Please refund $174.
Regards,
Amanda",Billing,High
INC-2026120,"Hello team, Is there a feature to export reports as PDF or CSV?
Regards,
Ashley",General Query,Low
INC-2026121,My API key has leaked and I need to regenerate it immediately.,Account Access,High
INC-2026122,"Hey, I need to change my registered email from emily75@gmail.com to emily.new@company.com.
Thanks,
Emily",Account Access,Medium
INC-2026123,"Hi support team, I wanted to share some feedback: the new UI looks really clean!
Regards,
Amanda",General Query,Low
INC-2026124,"Hey, Unrecognized login detected on my account. I need to secure it.
- Sarah",Account Access,High
INC-2026125,Can I get a copy of my invoice for September 2026?,Billing,Low
INC-2026126,"Hey, Unrecognized login detected on my account. I need to secure it.
- Emily",Account Access,High
INC-2026127,"Greetings, What are the system requirements for running your software?",General Query,Low
INC-2026128,"Our system integration with your webhook is failing with connection refused.
Best regards,
John",Technical Issue,High
INC-2026129,"Good morning, What are the system requirements for running your software?
Best regards,
Daniel",General Query,Low
INC-2026130,"I wanted to share some feedback: the new UI looks really clean!
Regards,
David",General Query,Low
INC-2026131,"Good morning, My API key has leaked and I need to regenerate it immediately.
Thank you,
Michael",Account Access,High
INC-2026132,"Unrecognized login detected on my account. I need to secure it.
- Megan",Account Access,High
INC-2026133,"I need to delete my account and remove my personal data under GDPR rules.
Thank you,
James",Account Access,Low
INC-2026134,"Hello, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-72350
Thanks,
James",Billing,Medium
INC-2026135,"Hey, My data has not synced between the web app and the mobile application.
Thanks,
Robert",Technical Issue,Medium
INC-2026136,My profile information is not updating when I save changes.,Account Access,Low
INC-2026137,"Hi support team, Our system integration with your webhook is failing with connection refused.
Thanks,
Emily",Technical Issue,High
INC-2026138,"Hello, The application is extremely slow and takes minutes to load pages.",Technical Issue,High
INC-2026139,"Hey, My API key has leaked and I need to regenerate it immediately.
Best regards,
Megan",Account Access,High
INC-2026140,"Hi support team, The application is extremely slow and takes minutes to load pages.
- Daniel",Technical Issue,High
INC-2026141,"Dear Support, Can you reset my password? I forgot it and need access.
Thank you,
Emily",Account Access,Low
INC-2026142,"Hello, Is it possible to switch my billing from monthly to yearly to get a discount?
Thanks,
Daniel",Billing,Low
INC-2026143,"Hi, The CSV export feature is broken. It downloads an empty file.
Sincerely,
Ashley",Technical Issue,Medium
INC-2026144,"Can you tell me more about your security and data compliance policies?
- James",General Query,Low
INC-2026145,"Our system integration with your webhook is failing with connection refused.
Regards,
Daniel",Technical Issue,High
INC-2026146,"Hello, Our system integration with your webhook is failing with connection refused.",Technical Issue,High
INC-2026147,"Hello team, Why was I charged $148 this month instead of the usual $37?",Billing,Medium
INC-2026148,"Hello team, I am unable to receive password reset emails. The mail server seems down.
Sincerely,
James",Technical Issue,High
INC-2026149,"Hey, I would like to suggest a feature: adding a dark mode to the dashboard.
Best regards,
Daniel",General Query,Low
INC-2026150,"What are your business hours and customer support availability on weekends?
Regards,
David",General Query,Low
INC-2026151,"Is it possible to switch my billing from monthly to yearly to get a discount?
Regards,
Amanda",Billing,Low
INC-2026152,"Hello team, Can you update my billing address on the system? It should be 506 Main St, Cityville.
Regards,
Michael",Billing,Low
INC-2026153,"When is the new feature update scheduled for release?
- Amanda",General Query,Low
INC-2026154,"Greetings, I want to request a demo of your enterprise plan for my team.",General Query,Low
INC-2026155,"Dear Support, I need to delete my account and remove my personal data under GDPR rules.",Account Access,Low
INC-2026156,"The website crashes whenever I try to upload my profile photo or files.
- John",Technical Issue,Medium
INC-2026157,"Hello team, I cannot log in to my account. It says password incorrect or user not found.",Account Access,Medium
INC-2026158,"Good morning, Do you offer discounts for non-profit organizations or educational schools?
Thanks,
James",General Query,Low
INC-2026159,"Greetings, I was billed $137 during my free trial period. Please check and refund.",Billing,High
INC-2026160,"Hey, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-51220",Billing,Medium
INC-2026161,The CSV export feature is broken. It downloads an empty file.,Technical Issue,Medium
INC-2026162,"Good morning, My payment failed but money was deducted from my bank account.
Sincerely,
Ashley",Billing,High
INC-2026163,"Hi support team, Do you offer discounts for non-profit organizations or educational schools?",General Query,Low
INC-2026164,"Hi support team, How do I add a new team member to my organization profile?
Regards,
Sarah",Account Access,Low
INC-2026165,"What are your business hours and customer support availability on weekends?
Thank you,
James",General Query,Low
INC-2026166,"Dear Support, Database connection timeout error when saving my work on Stripe.
Best regards,
Michael",Technical Issue,High
INC-2026167,"Dear Support, I cannot log in to my account. It says password incorrect or user not found.
Best regards,
James",Account Access,Medium
INC-2026168,"Dear Support, Can you tell me more about your security and data compliance policies?
- Robert",General Query,Low
INC-2026169,"Dear Support, I am unable to receive password reset emails. The mail server seems down.",Technical Issue,High
INC-2026170,"Hi support team, Our system integration with your webhook is failing with connection refused.",Technical Issue,High
INC-2026171,I am unable to receive password reset emails. The mail server seems down.,Technical Issue,High
INC-2026172,"Hi support team, The mobile app freezes and closes automatically when opening reports.",Technical Issue,Medium
INC-2026173,The search bar returns incorrect results for simple queries.,Technical Issue,Low
INC-2026174,"Greetings, My credit card was charged twice for the monthly subscription on 28-06-2026. Please refund $175.",Billing,High
INC-2026175,How can I contact sales for custom licensing terms?,General Query,Low
INC-2026176,"Greetings, Unrecognized login detected on my account. I need to secure it.
Sincerely,
Ashley",Account Access,High
INC-2026177,"Hi, My profile information is not updating when I save changes.
Best regards,
James",Account Access,Low
INC-2026178,"Can you reset my password? I forgot it and need access.
Sincerely,
Amanda",Account Access,Low
INC-2026179,"My data has not synced between the web app and the mobile application.
- Jessica",Technical Issue,Medium
INC-2026180,"Is your service compatible with Internet Explorer 11?
Best regards,
David",General Query,Low
INC-2026181,"Good morning, Do you support integration with Slack or Microsoft Teams?",General Query,Low
INC-2026182,"Hi, We are experiencing an API outage and all requests are returning 500 server errors.
Best regards,
David",Technical Issue,High
INC-2026183,"Hi support team, I cannot connect to the server. The connection keeps dropping.",Technical Issue,High
INC-2026184,"What are your business hours and customer support availability on weekends?
Sincerely,
James",General Query,Low
INC-2026185,"Is your service compatible with Internet Explorer 11?
Sincerely,
Ashley",General Query,Low
INC-2026186,"Hello team, I was billed $180 during my free trial period. Please check and refund.
Regards,
David",Billing,High
INC-2026187,"Hello, The CSV export feature is broken. It downloads an empty file.
Thank you,
John",Technical Issue,Medium
INC-2026188,"Hi, Our system integration with your webhook is failing with connection refused.",Technical Issue,High
INC-2026189,"My API key has leaked and I need to regenerate it immediately.
Thanks,
Sarah",Account Access,High
INC-2026190,"I was billed $230 during my free trial period. Please check and refund.
Regards,
Robert",Billing,High
INC-2026191,"Dear Support, I get a 404 page not found error when clicking on the dashboard link.
Best regards,
Amanda",Technical Issue,Medium
INC-2026192,"Dear Support, Do you support integration with Slack or Microsoft Teams?",General Query,Low
INC-2026193,"Can you update my billing address on the system? It should be 968 Main St, Cityville.",Billing,Low
INC-2026194,"Good morning, The mobile app freezes and closes automatically when opening reports.
Sincerely,
Jessica",Technical Issue,Medium
INC-2026195,"I cannot connect to the server. The connection keeps dropping.
Thank you,
John",Technical Issue,High
INC-2026196,"Good morning, What are the system requirements for running your software?
Sincerely,
Sarah",General Query,Low
INC-2026197,"Hi, I am seeing an unrecognized transaction of $196 on my card from your site.",Billing,High
INC-2026198,"Hello, Our system integration with your webhook is failing with connection refused.
Thank you,
Megan",Technical Issue,High
INC-2026199,I am unable to change my username. It says username already taken.,Account Access,Low
INC-2026200,"Hi, I received a payment failure notification but my credit card has sufficient funds.",Billing,Medium
INC-2026201,"Hello team, Is it possible to switch my billing from monthly to yearly to get a discount?",Billing,Low
INC-2026202,"Hello team, Can I get a copy of my invoice for February 2026?",Billing,Low
INC-2026203,"My API key has leaked and I need to regenerate it immediately.
Sincerely,
Emily",Account Access,High
INC-2026204,"Hi support team, My payment failed but money was deducted from my bank account.",Billing,High
INC-2026205,"Hello, My data has not synced between the web app and the mobile application.
Best regards,
James",Technical Issue,Medium
INC-2026206,"We are experiencing an API outage and all requests are returning 500 server errors.
Thanks,
David",Technical Issue,High
INC-2026207,Database connection timeout error when saving my work on Jira.,Technical Issue,High
INC-2026208,"Hello, I cannot connect to the server. The connection keeps dropping.
Regards,
Sarah",Technical Issue,High
INC-2026209,"Dear Support, The website crashes whenever I try to upload my profile photo or files.",Technical Issue,Medium
INC-2026210,"Hi, Can you tell me more about your security and data compliance policies?",General Query,Low
INC-2026211,"Hello team, Can you reset my password? I forgot it and need access.",Account Access,Low
INC-2026212,"We are experiencing an API outage and all requests are returning 500 server errors.
Thank you,
Robert",Technical Issue,High
INC-2026213,"Hello team, I am unable to receive password reset emails. The mail server seems down.
Best regards,
Daniel",Technical Issue,High
INC-2026214,"Hey, My payment failed but money was deducted from my bank account.
Sincerely,
Emily",Billing,High
INC-2026215,"My billing account is locked and I cannot process the invoice payment.
- Megan",Billing,High
INC-2026216,"Hello, The CSV export feature is broken. It downloads an empty file.
- David",Technical Issue,Medium
INC-2026217,"Good morning, I cannot connect to the server. The connection keeps dropping.
Regards,
Sarah",Technical Issue,High
INC-2026218,"Hi, I want to enable two-factor authentication for my profile for security.
Sincerely,
Megan",Account Access,Low
INC-2026219,"I need to delete my account and remove my personal data under GDPR rules.
Thank you,
Emily",Account Access,Low
INC-2026220,"The search bar returns incorrect results for simple queries.
Regards,
Ashley",Technical Issue,Low
INC-2026221,"Good morning, Unrecognized login detected on my account. I need to secure it.",Account Access,High
INC-2026222,I would like to suggest a feature: adding a dark mode to the dashboard.,General Query,Low
INC-2026223,"Hi, I need to delete my account and remove my personal data under GDPR rules.
Thank you,
Megan",Account Access,Low
INC-2026224,"Greetings, The website crashes whenever I try to upload my profile photo or files.",Technical Issue,Medium
INC-2026225,I cannot log in to my account. It says password incorrect or user not found.,Account Access,Medium
INC-2026226,"Greetings, I am seeing an unrecognized transaction of $130 on my card from your site.",Billing,High
INC-2026227,"Dear Support, When is the new feature update scheduled for release?
Thank you,
Sarah",General Query,Low
INC-2026228,"Greetings, I wanted to share some feedback: the new UI looks really clean!",General Query,Low
INC-2026229,"I found a bug: the submit button is greyed out even when forms are complete.
Thanks,
James",Technical Issue,Medium
INC-2026230,"Why was I charged $151 this month instead of the usual $51?
Thanks,
Sarah",Billing,Medium
INC-2026231,"Hello, I received a payment failure notification but my credit card has sufficient funds.",Billing,Medium
INC-2026232,"Hello, Where can I find your API documentation and developers SDK guides?
Regards,
John",General Query,Low
INC-2026233,"My account has been suspended and I don't know why. Please reactivate.
Sincerely,
Michael",Account Access,High
INC-2026234,"Good morning, Can you update my billing address on the system? It should be 877 Main St, Cityville.",Billing,Low
INC-2026235,"Greetings, Can I get a copy of my invoice for April 2025?
Sincerely,
Megan",Billing,Low
INC-2026236,"Hi support team, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-72204",Billing,Medium
INC-2026237,"What are your business hours and customer support availability on weekends?
Sincerely,
James",General Query,Low
INC-2026238,"Hello team, I want to update my payment method from Amex to Visa.
Best regards,
Megan",Billing,Low
INC-2026239,"Greetings, I want to request a demo of your enterprise plan for my team.",General Query,Low
INC-2026240,"Hi, Can you merge my two accounts into a single one?
Sincerely,
John",Account Access,Low
INC-2026241,"Greetings, I want to request a demo of your enterprise plan for my team.
Sincerely,
Jessica",General Query,Low
INC-2026242,"Hi, I am unable to change my username. It says username already taken.
Regards,
Emily",Account Access,Low
INC-2026243,"Can you update my billing address on the system? It should be 480 Main St, Cityville.
- Ashley",Billing,Low
INC-2026244,"Greetings, I want to update my payment method from Mastercard to Visa.",Billing,Low
INC-2026245,"Hi, I cannot connect to the server. The connection keeps dropping.
Best regards,
Ashley",Technical Issue,High
INC-2026246,"Hello team, I would like to suggest a feature: adding a dark mode to the dashboard.
Regards,
Robert",General Query,Low
INC-2026247,The website crashes whenever I try to upload my profile photo or files.,Technical Issue,Medium
INC-2026248,"How do I add a new team member to my organization profile?
Thank you,
Ashley",Account Access,Low
INC-2026249,"Good morning, Can you update my billing address on the system? It should be 703 Main St, Cityville.
Regards,
Sarah",Billing,Low
INC-2026250,"Greetings, I received a payment failure notification but my credit card has sufficient funds.
Best regards,
Ashley",Billing,Medium
INC-2026251,"Hi support team, I am seeing an unrecognized transaction of $35 on my card from your site.",Billing,High
INC-2026252,"Dear Support, I want to update my payment method from Visa to Mastercard.
Thank you,
Emily",Billing,Low
INC-2026253,"Greetings, How do I upgrade my subscription plan to premium?
Regards,
Megan",Account Access,Low
INC-2026254,"Hello, How do I add a new team member to my organization profile?",Account Access,Low
INC-2026255,"Greetings, I am unable to receive password reset emails. The mail server seems down.",Technical Issue,High
INC-2026256,"Greetings, What are the system requirements for running your software?
Sincerely,
Emily",General Query,Low
INC-2026257,"Greetings, Where can I find your API documentation and developers SDK guides?",General Query,Low
INC-2026258,"Good morning, Can you merge my two accounts into a single one?",Account Access,Low
INC-2026259,My credit card was charged twice for the monthly subscription on 21-03-2026. Please refund $139.,Billing,High
INC-2026260,"Hello, Is your service compatible with Internet Explorer 11?",General Query,Low
INC-2026261,"Hello, What are your business hours and customer support availability on weekends?
Thank you,
James",General Query,Low
INC-2026262,"Hey, I am unable to change my username. It says username already taken.
Regards,
Sarah",Account Access,Low
INC-2026263,"Dear Support, My credit card was charged twice for the monthly subscription on 06-08-2026. Please refund $45.
Thanks,
Sarah",Billing,High
INC-2026264,"Good morning, What are your business hours and customer support availability on weekends?
Thank you,
Ashley",General Query,Low
INC-2026265,"Dear Support, Our system integration with your webhook is failing with connection refused.",Technical Issue,High
INC-2026266,"My account has been suspended and I don't know why. Please reactivate.
Sincerely,
Megan",Account Access,High
INC-2026267,"Good morning, Can you merge my two accounts into a single one?
- Daniel",Account Access,Low
INC-2026268,"Hey, I need to change my registered email from david30@gmail.com to david.new@company.com.",Account Access,Medium
INC-2026269,"Dear Support, I was billed $62 during my free trial period. Please check and refund.
Sincerely,
Amanda",Billing,High
INC-2026270,"Dear Support, My API key has leaked and I need to regenerate it immediately.
Thank you,
Daniel",Account Access,High
INC-2026271,"I am unable to receive password reset emails. The mail server seems down.
Sincerely,
Ashley",Technical Issue,High
INC-2026272,"Hi, Why was I charged $81 this month instead of the usual $81?",Billing,Medium
INC-2026273,My profile information is not updating when I save changes.,Account Access,Low
INC-2026274,"Dear Support, My billing account is locked and I cannot process the invoice payment.
- David",Billing,High
INC-2026275,"Hi support team, I wanted to share some feedback: the new UI looks really clean!
- John",General Query,Low
INC-2026276,"I cannot log in to my account. It says password incorrect or user not found.
- Jessica",Account Access,Medium
INC-2026277,"Hi support team, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-23621
Best regards,
Daniel",Billing,Medium
INC-2026278,"Greetings, I want to update my payment method from Mastercard to Visa.
Thank you,
Amanda",Billing,Low
INC-2026279,"Hi support team, I cannot log in to my account. It says password incorrect or user not found.",Account Access,Medium
INC-2026280,"My profile information is not updating when I save changes.
- Ashley",Account Access,Low
INC-2026281,"Good morning, Can you merge my two accounts into a single one?
Thanks,
Sarah",Account Access,Low
INC-2026282,"Hey, How do I upgrade my subscription plan to premium?",Account Access,Low
INC-2026283,"I am unable to receive password reset emails. The mail server seems down.
Thank you,
Michael",Technical Issue,High
INC-2026284,"Hey, I want to enable two-factor authentication for my profile for security.
Best regards,
Jessica",Account Access,Low
INC-2026285,"Hello team, Unrecognized login detected on my account. I need to secure it.
Thank you,
Michael",Account Access,High
INC-2026286,"Can you tell me more about your security and data compliance policies?
Sincerely,
Michael",General Query,Low
INC-2026287,"Greetings, I was billed $227 during my free trial period. Please check and refund.
Best regards,
Amanda",Billing,High
INC-2026288,I need to change my registered email from robert74@gmail.com to robert.new@company.com.,Account Access,Medium
INC-2026289,I cannot connect to the server. The connection keeps dropping.,Technical Issue,High
INC-2026290,"Hey, The website crashes whenever I try to upload my profile photo or files.
Regards,
James",Technical Issue,Medium
INC-2026291,"Hello team, I get a 404 page not found error when clicking on the dashboard link.
Thank you,
David",Technical Issue,Medium
INC-2026292,"Hi support team, Is it possible to switch my billing from monthly to yearly to get a discount?
Thank you,
Emily",Billing,Low
INC-2026293,"My API key has leaked and I need to regenerate it immediately.
Best regards,
John",Account Access,High
INC-2026294,"I received a payment failure notification but my credit card has sufficient funds.
Thank you,
Megan",Billing,Medium
INC-2026295,"Hi support team, Where can I find your API documentation and developers SDK guides?",General Query,Low
INC-2026296,"Hi support team, Where can I find your API documentation and developers SDK guides?",General Query,Low
INC-2026297,"Greetings, The CSV export feature is broken. It downloads an empty file.
Thank you,
John",Technical Issue,Medium
INC-2026298,"My profile information is not updating when I save changes.
Thank you,
Ashley",Account Access,Low
INC-2026299,"Good morning, How do I upgrade my subscription plan to premium?
Best regards,
James",Account Access,Low
INC-2026300,"Greetings, How can I contact sales for custom licensing terms?",General Query,Low
